#Insert size (bp)	insert size
2.0	124.0
3.0	152.0
4.0	137.0
5.0	152.0
6.0	121.0
7.0	141.0
8.0	129.0
9.0	128.0
10.0	135.0
11.0	171.0
12.0	154.0
13.0	152.0
14.0	144.0
15.0	154.0
16.0	150.0
17.0	184.0
18.0	166.0
19.0	4177.0
20.0	4973.0
21.0	3583.0
22.0	2163.0
23.0	1217.0
24.0	775.0
25.0	592.0
26.0	554.0
27.0	484.0
28.0	492.0
29.0	482.0
30.0	536.0
31.0	512.0
32.0	609.0
33.0	581.0
34.0	635.0
35.0	705.0
36.0	757.0
37.0	813.0
38.0	933.0
39.0	961.0
40.0	1052.0
41.0	1100.0
42.0	1203.0
43.0	1254.0
44.0	1251.0
45.0	1306.0
46.0	1436.0
47.0	1470.0
48.0	1507.0
49.0	1613.0
50.0	1705.0
51.0	1823.0
52.0	1792.0
53.0	1893.0
54.0	1978.0
55.0	1946.0
56.0	2102.0
57.0	2162.0
58.0	2196.0
59.0	2278.0
60.0	2208.0
61.0	2337.0
62.0	2378.0
63.0	2327.0
64.0	2351.0
65.0	2301.0
66.0	2324.0
67.0	2420.0
68.0	2285.0
69.0	2354.0
70.0	2464.0
71.0	2598.0
72.0	2613.0
73.0	2735.0
74.0	2724.0
75.0	2794.0
76.0	2816.0
77.0	2852.0
78.0	2891.0
79.0	2967.0
80.0	2968.0
81.0	3054.0
82.0	3031.0
83.0	3060.0
84.0	2660.0
85.0	2819.0
86.0	2886.0
87.0	2738.0
88.0	2865.0
89.0	2896.0
90.0	2692.0
91.0	2937.0
92.0	2917.0
93.0	2975.0
94.0	2968.0
95.0	2876.0
96.0	2742.0
97.0	2859.0
98.0	2921.0
99.0	2957.0
100.0	2703.0
101.0	2871.0
102.0	2771.0
103.0	2865.0
104.0	2869.0
105.0	2904.0
106.0	2770.0
107.0	2893.0
108.0	2757.0
109.0	2725.0
110.0	2779.0
111.0	2840.0
112.0	2688.0
113.0	2918.0
114.0	2751.0
115.0	2796.0
116.0	2959.0
117.0	2974.0
118.0	2876.0
119.0	2799.0
120.0	2799.0
121.0	2883.0
122.0	2887.0
123.0	2920.0
124.0	3022.0
125.0	3040.0
126.0	3200.0
127.0	3260.0
128.0	3386.0
129.0	3651.0
130.0	3668.0
131.0	3781.0
132.0	4051.0
133.0	4281.0
134.0	4329.0
135.0	4801.0
136.0	5064.0
137.0	5458.0
138.0	5730.0
139.0	6439.0
140.0	7231.0
141.0	7967.0
142.0	9553.0
143.0	13881.0
144.0	139645.0
145.0	146378.0
146.0	147712.0
147.0	149960.0
148.0	151633.0
149.0	152630.0
150.0	153578.0
151.0	154115.0
152.0	155884.0
153.0	156608.0
154.0	157981.0
155.0	159787.0
156.0	160954.0
157.0	161760.0
158.0	161219.0
159.0	162858.0
160.0	162819.0
161.0	163568.0
162.0	164399.0
163.0	165981.0
164.0	166671.0
165.0	166460.0
166.0	167773.0
167.0	168465.0
168.0	168025.0
169.0	169246.0
170.0	168230.0
171.0	168914.0
172.0	169043.0
173.0	169407.0
174.0	170486.0
175.0	170683.0
176.0	171442.0
177.0	170945.0
178.0	170399.0
179.0	170075.0
180.0	170762.0
181.0	170237.0
182.0	170726.0
183.0	170834.0
184.0	170505.0
185.0	171299.0
186.0	170683.0
187.0	170653.0
188.0	169784.0
189.0	170930.0
190.0	169749.0
191.0	168535.0
192.0	169599.0
193.0	168835.0
194.0	169127.0
195.0	169601.0
196.0	168081.0
197.0	167510.0
198.0	167798.0
199.0	167585.0
200.0	166611.0
201.0	165972.0
202.0	164903.0
203.0	165170.0
204.0	164214.0
205.0	163794.0
206.0	163807.0
207.0	163783.0
208.0	161675.0
209.0	161603.0
210.0	160667.0
211.0	160860.0
212.0	159560.0
213.0	159159.0
214.0	158625.0
215.0	157497.0
216.0	157259.0
217.0	156545.0
218.0	155845.0
219.0	155402.0
220.0	153726.0
221.0	154028.0
222.0	152262.0
223.0	151118.0
224.0	150774.0
225.0	149612.0
226.0	149379.0
227.0	148660.0
228.0	147975.0
229.0	147123.0
230.0	146597.0
231.0	145307.0
232.0	144416.0
233.0	143647.0
234.0	142625.0
235.0	141705.0
236.0	140378.0
237.0	139506.0
238.0	138520.0
239.0	138326.0
240.0	136919.0
241.0	135578.0
242.0	135880.0
243.0	134263.0
244.0	133035.0
245.0	132931.0
246.0	131286.0
247.0	130120.0
248.0	129878.0
249.0	128720.0
250.0	127276.0
251.0	126878.0
252.0	126163.0
253.0	125484.0
254.0	124051.0
255.0	122736.0
256.0	122537.0
257.0	121207.0
258.0	120814.0
259.0	119394.0
260.0	119229.0
261.0	117614.0
262.0	116974.0
263.0	116234.0
264.0	114563.0
265.0	114690.0
266.0	112620.0
267.0	111695.0
268.0	110636.0
269.0	110410.0
270.0	109003.0
271.0	108437.0
272.0	107553.0
273.0	105601.0
274.0	105965.0
275.0	105488.0
276.0	103789.0
277.0	103083.0
278.0	102829.0
279.0	101289.0
280.0	100368.0
281.0	99628.0
282.0	98749.0
283.0	97514.0
284.0	96492.0
285.0	95937.0
286.0	95771.0
287.0	94332.0
288.0	93811.0
289.0	93198.0
290.0	91708.0
