#GC Content (%)	Sample
1.0	0.0
2.0	1.1626994392881954E-7
3.0	0.0
4.0	1.1626994392881954E-7
5.0	4.6507977571527815E-7
6.0	1.3952393271458345E-6
7.0	2.6742087103628496E-6
8.0	1.0464294953593758E-6
9.0	2.2091289346475714E-6
10.0	1.6277792150034733E-6
11.0	2.3253988785763904E-6
12.0	4.883337645010421E-6
13.0	7.325006467515631E-6
14.0	1.1510724448953136E-5
15.0	2.0579780075401055E-5
16.0	3.15091548047101E-5
17.0	6.90643466937188E-5
18.0	1.2685050882634214E-4
19.0	2.5218950838160964E-4
20.0	4.6798652431349864E-4
21.0	8.637694134472004E-4
22.0	0.0015384838980661401
23.0	0.0026200269164920196
24.0	0.004221645394111509
25.0	0.007291055643888416
26.0	0.00874454621294259
27.0	0.013179546954163481
28.0	0.017639778273216927
29.0	0.02254776514634026
30.0	0.027891531769308805
31.0	0.0333791243129173
32.0	0.038671150810837523
33.0	0.04356413886119403
34.0	0.04678435122824661
35.0	0.04827690849846087
36.0	0.04880651809305665
37.0	0.04884674749365603
38.0	0.04766009644591849
39.0	0.0456473474465667
40.0	0.04305801579527188
41.0	0.0408851630831301
42.0	0.03912867304019743
43.0	0.03743043423917308
44.0	0.03572928868955053
45.0	0.03208027276928846
46.0	0.028520784705851576
47.0	0.02517441944963622
48.0	0.022443703546523967
49.0	0.020259688919765022
50.0	0.018462504396457257
51.0	0.018330654280041974
52.0	0.01355870324131536
53.0	0.013801242344350878
54.0	0.012546457109471058
55.0	0.011369572737023548
56.0	0.010271868196391561
57.0	0.009187767239199248
58.0	0.008328416083621342
59.0	0.00758812535062655
60.0	0.006932595406755865
61.0	0.006329154397765292
62.0	0.005677345092100329
63.0	0.004885314234057212
64.0	0.004064332159975816
65.0	0.0033102053036534926
66.0	0.002596191577986611
67.0	0.0020169347173332325
68.0	0.001569644243039064
69.0	0.0012051379688222145
70.0	9.143468390562368E-4
71.0	6.706450365814312E-4
72.0	4.884500344449708E-4
73.0	3.6427373432899163E-4
74.0	2.8055937470024153E-4
75.0	2.207966235208283E-4
76.0	1.6510332037892377E-4
77.0	1.32082656303139E-4
78.0	1.0103858127414418E-4
79.0	9.010920654483512E-5
80.0	7.534292366587507E-5
81.0	5.662346269333512E-5
82.0	4.0578210431158016E-5
83.0	3.348574385150003E-5
84.0	2.0928589907187518E-5
85.0	2.011470029968578E-5
86.0	1.511509271074654E-5
87.0	9.999215177878481E-6
88.0	8.022626131088548E-6
89.0	5.697227252512157E-6
90.0	3.139288486078127E-6
91.0	2.6742087103628492E-6
92.0	1.3952393271458345E-6
93.0	2.3253988785763907E-7
94.0	3.488098317864586E-7
95.0	5.813497196440977E-7
96.0	0.0
97.0	1.1626994392881954E-7
98.0	3.488098317864586E-7
99.0	1.3952393271458343E-6
100.0	3.554372185904014E-4
