#Mapping quality	mapping quality
0.0	5.9755378E7
1.0	3898026.0
2.0	3878751.0
3.0	4214811.0
4.0	3730667.0
5.0	3546091.0
6.0	3749191.0
7.0	3347721.0
8.0	3415408.0
9.0	3586518.0
10.0	3442777.0
11.0	2789431.0
12.0	3031330.0
13.0	4248102.0
14.0	2602788.0
15.0	3397447.0
16.0	3100233.0
17.0	2784688.0
18.0	3072170.0
19.0	2931363.0
20.0	5562570.0
21.0	3562997.0
22.0	3539312.0
23.0	3361051.0
24.0	3874249.0
25.0	4032381.0
26.0	3681578.0
27.0	5595641.0
28.0	3609317.0
29.0	3579888.0
30.0	8028357.0
31.0	4306217.0
32.0	4361048.0
33.0	5179300.0
34.0	4498770.0
35.0	4586880.0
36.0	5031476.0
37.0	4944816.0
38.0	4616991.0
39.0	5179767.0
40.0	1.5557745E7
41.0	5795786.0
42.0	6170300.0
43.0	6468325.0
44.0	6022241.0
45.0	8234744.0
46.0	7345864.0
47.0	7223137.0
48.0	8956624.0
49.0	6991553.0
50.0	1.1689556E7
51.0	7859513.0
52.0	8202078.0
53.0	1.0948055E7
54.0	8606463.0
55.0	1.0404273E7
56.0	1.0620793E7
57.0	1.0343684E7
58.0	9684620.0
59.0	9458344.0
60.0	1.86962643E9
