#Coverage	Number of genomic locations
0.0	2.218152032E9
1.0	4.49681612E8
2.0	1.02375592E8
3.0	2.6683173E7
4.0	9051453.0
5.0	3939532.0
6.0	2009453.0
7.0	1115639.0
8.0	658148.0
9.0	413487.0
10.0	269269.0
11.0	177323.0
12.0	125930.0
13.0	90470.0
14.0	68135.0
15.0	51584.0
16.0	40564.0
17.0	33914.0
18.0	28049.0
19.0	23817.0
20.0	19519.0
21.0	17355.0
22.0	15690.0
23.0	14335.0
24.0	13047.0
25.0	12036.0
26.0	10568.0
27.0	9911.0
28.0	9081.0
29.0	8017.0
30.0	7709.0
31.0	7636.0
32.0	6922.0
33.0	6365.0
34.0	6092.0
35.0	6075.0
36.0	5663.0
37.0	5533.0
38.0	5214.0
39.0	4878.0
40.0	4848.0
41.0	4727.0
42.0	4372.0
43.0	4204.0
44.0	3999.0
45.0	3735.0
46.0	3639.0
47.0	3610.0
48.0	3355.0
49.0	3340.0
50.0	2971.0
51.0	3070.0
52.0	3104.0
53.0	2894.0
54.0	2931.0
55.0	2755.0
56.0	2502.0
57.0	2449.0
58.0	2330.0
59.0	2314.0
60.0	2360.0
61.0	2403.0
62.0	2208.0
63.0	2281.0
64.0	2243.0
65.0	2113.0
66.0	2060.0
67.0	1979.0
68.0	1891.0
69.0	1977.0
70.0	1899.0
71.0	1828.0
72.0	1826.0
73.0	1824.0
74.0	1696.0
75.0	1598.0
76.0	1529.0
77.0	1525.0
78.0	1539.0
79.0	1503.0
80.0	1464.0
81.0	1478.0
82.0	1419.0
83.0	1351.0
84.0	1248.0
85.0	1222.0
86.0	1203.0
87.0	1306.0
88.0	1249.0
89.0	1212.0
90.0	1230.0
91.0	1207.0
92.0	1080.0
93.0	1049.0
94.0	1002.0
95.0	1020.0
96.0	949.0
97.0	1005.0
98.0	904.0
99.0	984.0
100.0	886.0
101.0	882.0
102.0	896.0
103.0	789.0
104.0	746.0
105.0	728.0
106.0	693.0
107.0	749.0
108.0	751.0
109.0	761.0
110.0	672.0
111.0	643.0
112.0	646.0
113.0	619.0
114.0	618.0
115.0	542.0
116.0	507.0
117.0	492.0
118.0	458.0
119.0	438.0
120.0	542.0
121.0	540.0
122.0	478.0
123.0	454.0
124.0	433.0
125.0	435.0
126.0	430.0
127.0	378.0
128.0	408.0
129.0	366.0
130.0	389.0
131.0	309.0
132.0	397.0
133.0	361.0
134.0	334.0
135.0	358.0
136.0	323.0
137.0	353.0
138.0	378.0
139.0	361.0
140.0	361.0
141.0	352.0
142.0	342.0
143.0	319.0
144.0	330.0
145.0	314.0
146.0	329.0
147.0	301.0
148.0	349.0
149.0	306.0
150.0	260.0
151.0	274.0
152.0	319.0
153.0	293.0
154.0	289.0
155.0	295.0
156.0	296.0
157.0	290.0
158.0	256.0
159.0	287.0
160.0	256.0
161.0	272.0
162.0	282.0
163.0	269.0
164.0	250.0
165.0	285.0
166.0	235.0
167.0	242.0
168.0	235.0
169.0	225.0
170.0	206.0
171.0	218.0
172.0	220.0
173.0	217.0
174.0	196.0
175.0	195.0
176.0	181.0
177.0	169.0
178.0	186.0
179.0	173.0
180.0	176.0
181.0	203.0
182.0	191.0
183.0	184.0
184.0	187.0
185.0	171.0
186.0	167.0
187.0	155.0
188.0	158.0
189.0	144.0
190.0	137.0
191.0	136.0
192.0	145.0
193.0	138.0
194.0	117.0
195.0	133.0
196.0	115.0
197.0	123.0
198.0	140.0
199.0	146.0
200.0	136.0
201.0	156.0
202.0	132.0
