#Duplication rate	Coverage
1.0	6972850.0
2.0	564606.0
3.0	59577.0
4.0	11687.0
5.0	5012.0
6.0	2827.0
7.0	1738.0
8.0	1100.0
9.0	814.0
10.0	563.0
11.0	368.0
12.0	237.0
13.0	199.0
14.0	126.0
15.0	108.0
16.0	81.0
17.0	46.0
18.0	43.0
19.0	43.0
20.0	21.0
21.0	22.0
22.0	28.0
23.0	16.0
24.0	23.0
25.0	20.0
26.0	11.0
27.0	11.0
28.0	15.0
29.0	12.0
30.0	12.0
31.0	9.0
32.0	9.0
33.0	5.0
34.0	5.0
35.0	8.0
36.0	8.0
37.0	10.0
38.0	2.0
39.0	4.0
40.0	4.0
41.0	2.0
42.0	6.0
43.0	3.0
44.0	2.0
45.0	3.0
46.0	2.0
47.0	2.0
48.0	2.0
49.0	1.0
50.0	33.0
