#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	2.302001935983628E-6
10.0	0.0
11.0	2.302001935983628E-6
12.0	2.302001935983628E-6
13.0	4.604003871967256E-6
14.0	2.302001935983628E-6
15.0	3.453002903975442E-6
16.0	1.151000967991814E-6
17.0	9.208007743934512E-6
18.0	9.208007743934512E-6
19.0	1.4963012583893582E-5
20.0	3.683203097573805E-5
21.0	5.5248046463607074E-5
22.0	1.2776110744709134E-4
23.0	2.520692119902073E-4
24.0	4.350783659009057E-4
25.0	0.001028994865384682
26.0	0.0016010423464766132
27.0	0.003052454567114291
28.0	0.005223242392746852
29.0	0.008600279232834834
30.0	0.013625549459087094
31.0	0.020332432099575398
32.0	0.028224845737095265
33.0	0.037802324791755146
34.0	0.04706673158312126
35.0	0.05431458467856572
36.0	0.0591533927480033
37.0	0.060993843295822206
38.0	0.06017317960564405
39.0	0.05700677594269856
40.0	0.05409704549561527
41.0	0.05114127500981228
42.0	0.04744195789868659
43.0	0.04362523868882574
44.0	0.03908914387397
45.0	0.035316162700892835
46.0	0.031751512703022185
47.0	0.027603305214379682
48.0	0.025044630062533883
49.0	0.022469840897136197
50.0	0.020305959077311586
51.0	0.02027948605504777
52.0	0.014803023449342721
53.0	0.014918123546141901
54.0	0.01340110427032869
55.0	0.011946239046787039
56.0	0.010749198040075552
57.0	0.009365694876549391
58.0	0.00831137798986889
59.0	0.007184548042204903
60.0	0.0062936732929792395
61.0	0.005531710652168659
62.0	0.004660402919398855
63.0	0.0037603201624292564
64.0	0.0031111556164818734
65.0	0.0025080311092541626
66.0	0.0018312425400749761
67.0	0.0012776110744709137
68.0	8.851197443857051E-4
69.0	5.801044878678743E-4
70.0	3.6947131072537237E-4
71.0	2.394082013422973E-4
72.0	1.565361316468867E-4
73.0	1.323651113190586E-4
74.0	9.092907647135331E-5
75.0	6.906005807950883E-5
76.0	6.215405227155796E-5
77.0	5.985205033557434E-5
78.0	4.3738036783688936E-5
79.0	2.6473022263811724E-5
80.0	4.3738036783688936E-5
81.0	2.9926025167787167E-5
82.0	3.453002903975442E-5
83.0	2.9926025167787164E-5
84.0	2.8775024199795354E-5
85.0	1.2661010647909952E-5
86.0	1.4963012583893582E-5
87.0	1.2661010647909955E-5
88.0	3.453002903975442E-6
89.0	6.906005807950884E-6
90.0	1.151000967991814E-6
91.0	1.151000967991814E-6
92.0	4.604003871967256E-6
93.0	0.0
94.0	1.151000967991814E-6
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.17210687274188E-5
