#Mapping quality	mapping quality
0.0	7.1121576E7
1.0	2623516.0
2.0	2872955.0
3.0	3170762.0
4.0	3580468.0
5.0	3082269.0
6.0	3406423.0
7.0	3729256.0
8.0	5262909.0
9.0	3970164.0
10.0	2788639.0
11.0	2405180.0
12.0	1903639.0
13.0	1639128.0
14.0	1435896.0
15.0	1419637.0
16.0	1439845.0
17.0	1476866.0
18.0	1522210.0
19.0	1516097.0
20.0	1776524.0
21.0	1960594.0
22.0	2881063.0
23.0	2674559.0
24.0	2182320.0
25.0	1960844.0
26.0	1701095.0
27.0	1736304.0
28.0	1466000.0
29.0	1415421.0
30.0	2274783.0
31.0	1522297.0
32.0	1643699.0
33.0	1871403.0
34.0	1809440.0
35.0	1627168.0
36.0	1361314.0
37.0	1306977.0
38.0	1247505.0
39.0	1239995.0
40.0	1381248.0
41.0	1232591.0
42.0	1263526.0
43.0	1348831.0
44.0	1246426.0
45.0	1342043.0
46.0	1274505.0
47.0	1195216.0
48.0	1231849.0
49.0	1095572.0
50.0	1041174.0
51.0	1059691.0
52.0	1061088.0
53.0	959530.0
54.0	1233948.0
55.0	1016611.0
56.0	1045592.0
57.0	1007512.0
58.0	1020223.0
59.0	929339.0
60.0	4.18231981E8
