#Duplication rate	Coverage
1.0	8787004.0
2.0	677126.0
3.0	68014.0
4.0	14523.0
5.0	7175.0
6.0	4471.0
7.0	2842.0
8.0	1853.0
9.0	1289.0
10.0	921.0
11.0	631.0
12.0	471.0
13.0	329.0
14.0	233.0
15.0	177.0
16.0	141.0
17.0	111.0
18.0	89.0
19.0	69.0
20.0	61.0
21.0	47.0
22.0	41.0
23.0	36.0
24.0	27.0
25.0	35.0
26.0	21.0
27.0	19.0
28.0	18.0
29.0	18.0
30.0	14.0
31.0	13.0
32.0	9.0
33.0	10.0
34.0	9.0
35.0	10.0
36.0	5.0
37.0	9.0
38.0	5.0
39.0	5.0
40.0	0.0
41.0	5.0
42.0	3.0
43.0	5.0
44.0	5.0
45.0	6.0
46.0	3.0
47.0	4.0
48.0	2.0
49.0	1.0
50.0	51.0
