#GC Content (%)	Sample
1.0	1.1025664660142707E-7
2.0	0.0
3.0	0.0
4.0	5.512832330071354E-7
5.0	1.1025664660142707E-7
6.0	1.5435930524199792E-6
7.0	1.4333364058185522E-6
8.0	1.323079759217125E-6
9.0	2.6461595184342497E-6
10.0	3.0871861048399584E-6
11.0	2.3153895786299685E-6
12.0	3.6384693378470935E-6
13.0	5.8436022698756355E-6
14.0	1.1907717832954124E-5
15.0	2.2823125846495403E-5
16.0	3.4179560446442394E-5
17.0	6.75873243666748E-5
18.0	1.261336037120326E-4
19.0	2.4906976467262376E-4
20.0	4.919651571355676E-4
21.0	8.788557300599753E-4
22.0	0.0016099675536740382
23.0	0.002684969858037952
24.0	0.004354365744230159
25.0	0.007535821281914337
26.0	0.00895140636763006
27.0	0.013510849474538874
28.0	0.017939528198578393
29.0	0.022860061823106882
30.0	0.028148521877344332
31.0	0.03361868488518093
32.0	0.038947609128721104
33.0	0.04367067309918644
34.0	0.04683801578610564
35.0	0.04820266230109149
36.0	0.04863475809912248
37.0	0.04855713741991509
38.0	0.04733262710275964
39.0	0.04533290230334955
40.0	0.04285102518835143
41.0	0.0408869132857936
42.0	0.038967124555169555
43.0	0.03748273932197455
44.0	0.03571885348964491
45.0	0.03228656408094249
46.0	0.028589879233689844
47.0	0.0250400562397103
48.0	0.022275591339472718
49.0	0.020179171460993187
50.0	0.018293121264229172
51.0	0.018256405800910896
52.0	0.013500264836465136
53.0	0.01361482149228402
54.0	0.012387775272256736
55.0	0.011286531886001684
56.0	0.010203260333142661
57.0	0.009170376067780494
58.0	0.00826142027319833
59.0	0.007552359778904553
60.0	0.006893025032228018
61.0	0.0062016056013904685
62.0	0.005623199233319382
63.0	0.004842802688674481
64.0	0.004011026546713316
65.0	0.0032967839900292705
66.0	0.0025625849803103677
67.0	0.001996086330072236
68.0	0.0015584776997111718
69.0	0.0011861410041381524
70.0	9.22407105467539E-4
71.0	6.830399256958407E-4
72.0	4.950523432404076E-4
73.0	3.6131103091287654E-4
74.0	2.823672719462547E-4
75.0	2.4388770228235668E-4
76.0	1.7552858138947193E-4
77.0	1.3065412622269109E-4
78.0	1.1389511593927418E-4
79.0	9.25053264985973E-5
80.0	8.379505141708459E-5
81.0	5.953858916477063E-5
82.0	4.4653941873577965E-5
83.0	3.197442751441385E-5
84.0	2.52487720717268E-5
85.0	2.4366718898915387E-5
86.0	1.4002594118381237E-5
87.0	1.3120540945569822E-5
88.0	1.0474381427135572E-5
89.0	7.387195322295614E-6
90.0	4.630779157259938E-6
91.0	1.8743629922242602E-6
92.0	1.212823112615698E-6
93.0	4.4102658640570827E-7
94.0	8.820531728114165E-7
95.0	1.1025664660142707E-7
96.0	3.307699398042812E-7
97.0	5.512832330071354E-7
98.0	3.307699398042812E-7
99.0	1.5435930524199792E-6
100.0	5.612063312012638E-4
