#Mapping quality	mapping quality
0.0	7.6246416E7
1.0	2874384.0
2.0	3202955.0
3.0	3455909.0
4.0	3925947.0
5.0	3317911.0
6.0	3644250.0
7.0	3928870.0
8.0	5514515.0
9.0	4223240.0
10.0	2966418.0
11.0	2606279.0
12.0	2052344.0
13.0	1770453.0
14.0	1580287.0
15.0	1566561.0
16.0	1543634.0
17.0	1633300.0
18.0	1671754.0
19.0	1641876.0
20.0	1891304.0
21.0	2129758.0
22.0	3087624.0
23.0	2871213.0
24.0	2341698.0
25.0	2112606.0
26.0	1828758.0
27.0	1872397.0
28.0	1588052.0
29.0	1533473.0
30.0	2527980.0
31.0	1631023.0
32.0	1756944.0
33.0	2029050.0
34.0	1982485.0
35.0	1780467.0
36.0	1503915.0
37.0	1408569.0
38.0	1383072.0
39.0	1347256.0
40.0	1517912.0
41.0	1348524.0
42.0	1348202.0
43.0	1453943.0
44.0	1373734.0
45.0	1486709.0
46.0	1379375.0
47.0	1290996.0
48.0	1367517.0
49.0	1192599.0
50.0	1136438.0
51.0	1144217.0
52.0	1126644.0
53.0	1063378.0
54.0	1343497.0
55.0	1148314.0
56.0	1144448.0
57.0	1123723.0
58.0	1107339.0
59.0	1037962.0
60.0	4.61226723E8
