#Insert size (bp)	insert size
2.0	112.0
3.0	81.0
4.0	100.0
5.0	94.0
6.0	85.0
7.0	103.0
8.0	94.0
9.0	92.0
10.0	109.0
11.0	83.0
12.0	112.0
13.0	120.0
14.0	111.0
15.0	115.0
16.0	126.0
17.0	147.0
18.0	141.0
19.0	5462.0
20.0	7145.0
21.0	5529.0
22.0	3218.0
23.0	1758.0
24.0	1014.0
25.0	773.0
26.0	708.0
27.0	625.0
28.0	609.0
29.0	548.0
30.0	508.0
31.0	619.0
32.0	705.0
33.0	692.0
34.0	712.0
35.0	796.0
36.0	882.0
37.0	950.0
38.0	951.0
39.0	1035.0
40.0	1153.0
41.0	1310.0
42.0	1380.0
43.0	1480.0
44.0	1561.0
45.0	1613.0
46.0	1636.0
47.0	1670.0
48.0	1824.0
49.0	1977.0
50.0	1960.0
51.0	2069.0
52.0	2124.0
53.0	2185.0
54.0	2262.0
55.0	2272.0
56.0	2401.0
57.0	2409.0
58.0	2509.0
59.0	2722.0
60.0	2591.0
61.0	2604.0
62.0	2798.0
63.0	2889.0
64.0	2916.0
65.0	3110.0
66.0	3010.0
67.0	3085.0
68.0	3170.0
69.0	3428.0
70.0	3477.0
71.0	3597.0
72.0	3653.0
73.0	4073.0
74.0	4300.0
75.0	4339.0
76.0	5318.0
77.0	5599.0
78.0	5528.0
79.0	6167.0
80.0	6301.0
81.0	6555.0
82.0	6692.0
83.0	6926.0
84.0	7038.0
85.0	6879.0
86.0	7198.0
87.0	7286.0
88.0	7433.0
89.0	7595.0
90.0	7562.0
91.0	7685.0
92.0	7826.0
93.0	8188.0
94.0	8121.0
95.0	8123.0
96.0	7925.0
97.0	8105.0
98.0	8273.0
99.0	8392.0
100.0	8152.0
101.0	8227.0
102.0	8546.0
103.0	8642.0
104.0	8616.0
105.0	8494.0
106.0	8188.0
107.0	8440.0
108.0	8359.0
109.0	8362.0
110.0	8400.0
111.0	8519.0
112.0	8609.0
113.0	8658.0
114.0	8640.0
115.0	8624.0
116.0	8504.0
117.0	8849.0
118.0	8777.0
119.0	8659.0
120.0	8357.0
121.0	8667.0
122.0	8528.0
123.0	8955.0
124.0	8840.0
125.0	8911.0
126.0	8978.0
127.0	9274.0
128.0	9456.0
129.0	9754.0
130.0	9752.0
131.0	10076.0
132.0	10108.0
133.0	10346.0
134.0	10876.0
135.0	11123.0
136.0	11398.0
137.0	11624.0
138.0	11930.0
139.0	12764.0
140.0	13451.0
141.0	14640.0
142.0	16051.0
143.0	20789.0
144.0	153882.0
145.0	158263.0
146.0	160770.0
147.0	163105.0
148.0	165184.0
149.0	166258.0
150.0	167928.0
151.0	168655.0
152.0	170955.0
153.0	171691.0
154.0	173631.0
155.0	174111.0
156.0	175138.0
157.0	177656.0
158.0	177550.0
159.0	178070.0
160.0	178425.0
161.0	179686.0
162.0	181113.0
163.0	182246.0
164.0	182429.0
165.0	183997.0
166.0	184396.0
167.0	184903.0
168.0	185411.0
169.0	186147.0
170.0	186505.0
171.0	186425.0
172.0	187273.0
173.0	187867.0
174.0	187009.0
175.0	188648.0
176.0	189667.0
177.0	190407.0
178.0	190317.0
179.0	189820.0
180.0	189682.0
181.0	189997.0
182.0	190202.0
183.0	189900.0
184.0	189788.0
185.0	190559.0
186.0	190651.0
187.0	190749.0
188.0	190511.0
189.0	190876.0
190.0	190040.0
191.0	189558.0
192.0	188764.0
193.0	189322.0
194.0	188964.0
195.0	189128.0
196.0	188285.0
197.0	187129.0
198.0	187677.0
199.0	186388.0
200.0	186077.0
201.0	186071.0
202.0	183851.0
203.0	184412.0
204.0	184081.0
205.0	182872.0
206.0	182736.0
207.0	180531.0
208.0	180324.0
209.0	179288.0
210.0	179180.0
211.0	178516.0
212.0	177465.0
213.0	176267.0
214.0	174554.0
215.0	174864.0
216.0	173376.0
217.0	172075.0
218.0	171549.0
219.0	168831.0
220.0	169391.0
221.0	167738.0
222.0	166979.0
223.0	164934.0
224.0	164455.0
225.0	163208.0
226.0	161980.0
227.0	160797.0
228.0	159933.0
229.0	159045.0
230.0	156424.0
231.0	155306.0
232.0	154968.0
233.0	153654.0
234.0	152285.0
235.0	151256.0
236.0	149696.0
237.0	148406.0
238.0	147178.0
239.0	145569.0
240.0	144095.0
241.0	142585.0
242.0	141771.0
243.0	140069.0
244.0	138465.0
245.0	136347.0
246.0	135910.0
247.0	134153.0
248.0	133121.0
249.0	131638.0
250.0	130042.0
251.0	128770.0
252.0	127318.0
253.0	126371.0
254.0	125213.0
255.0	123827.0
256.0	121708.0
257.0	120299.0
258.0	118721.0
259.0	117600.0
260.0	116605.0
261.0	115380.0
262.0	113675.0
263.0	112575.0
264.0	111018.0
265.0	109940.0
266.0	108541.0
267.0	107308.0
268.0	105653.0
269.0	104497.0
270.0	103706.0
271.0	102461.0
272.0	100801.0
273.0	99493.0
274.0	97763.0
275.0	97353.0
276.0	95857.0
277.0	94457.0
278.0	93300.0
279.0	92430.0
280.0	90941.0
281.0	90230.0
282.0	89025.0
283.0	87507.0
284.0	86384.0
285.0	85924.0
286.0	84336.0
287.0	83492.0
288.0	82455.0
289.0	80993.0
290.0	79709.0
291.0	79276.0
292.0	77588.0
293.0	77103.0
294.0	76341.0
295.0	74921.0
296.0	73806.0
297.0	72343.0
298.0	71395.0
299.0	70417.0
300.0	69486.0
301.0	68724.0
302.0	67835.0
303.0	67335.0
304.0	66577.0
305.0	64852.0
306.0	63632.0
307.0	62518.0
308.0	61456.0
309.0	61328.0
310.0	60123.0
311.0	59590.0
312.0	58472.0
313.0	58041.0
314.0	56987.0
315.0	55509.0
316.0	55106.0
317.0	54542.0
318.0	54364.0
319.0	52593.0
320.0	52378.0
321.0	51477.0
322.0	50843.0
323.0	49911.0
324.0	49357.0
325.0	48289.0
326.0	47852.0
327.0	47475.0
328.0	46562.0
329.0	46014.0
330.0	45286.0
331.0	44533.0
332.0	43856.0
333.0	42979.0
334.0	42317.0
335.0	41716.0
336.0	41550.0
337.0	40476.0
338.0	40013.0
339.0	39305.0
340.0	38832.0
341.0	38196.0
342.0	38048.0
343.0	37830.0
344.0	36572.0
345.0	36370.0
346.0	35488.0
347.0	34995.0
348.0	34581.0
349.0	34423.0
350.0	33763.0
351.0	32873.0
352.0	31964.0
353.0	31847.0
354.0	31043.0
355.0	30842.0
356.0	30412.0
357.0	29986.0
358.0	29359.0
359.0	29058.0
360.0	28811.0
361.0	28050.0
362.0	27538.0
363.0	27402.0
364.0	26914.0
365.0	26338.0
366.0	26094.0
367.0	26121.0
368.0	25912.0
369.0	24886.0
370.0	24544.0
371.0	24059.0
372.0	23975.0
373.0	23067.0
374.0	23131.0
375.0	22731.0
376.0	22595.0
377.0	21768.0
378.0	21865.0
379.0	21472.0
380.0	21170.0
381.0	21071.0
382.0	20426.0
383.0	20257.0
384.0	20251.0
385.0	19395.0
386.0	19712.0
387.0	19076.0
388.0	18869.0
389.0	18028.0
390.0	17721.0
391.0	17669.0
392.0	17542.0
393.0	17249.0
394.0	16914.0
395.0	16540.0
396.0	16401.0
397.0	16209.0
398.0	15835.0
399.0	16051.0
400.0	15586.0
401.0	15188.0
402.0	15000.0
403.0	14995.0
404.0	14761.0
405.0	14296.0
406.0	13934.0
407.0	14014.0
408.0	13397.0
409.0	13249.0
410.0	13139.0
411.0	13055.0
412.0	12942.0
413.0	12444.0
414.0	12300.0
415.0	12107.0
416.0	12044.0
417.0	11871.0
418.0	11686.0
419.0	11309.0
420.0	11116.0
421.0	10731.0
422.0	10752.0
423.0	10476.0
424.0	10493.0
425.0	10214.0
426.0	10006.0
427.0	9959.0
428.0	9839.0
429.0	9675.0
