#Mapping quality	mapping quality
0.0	7.0866213E7
1.0	4133479.0
2.0	4093532.0
3.0	4399111.0
4.0	3923911.0
5.0	3726154.0
6.0	3927960.0
7.0	3594623.0
8.0	3772430.0
9.0	3744584.0
10.0	3725174.0
11.0	3051550.0
12.0	3251481.0
13.0	4259635.0
14.0	2817565.0
15.0	3628394.0
16.0	3355171.0
17.0	2987160.0
18.0	3252682.0
19.0	3123262.0
20.0	6116086.0
21.0	3841030.0
22.0	3902812.0
23.0	3667272.0
24.0	4258034.0
25.0	4277431.0
26.0	4052325.0
27.0	5614326.0
28.0	3931779.0
29.0	3858873.0
30.0	1.0674818E7
31.0	4690986.0
32.0	4836545.0
33.0	5515566.0
34.0	5099755.0
35.0	5059135.0
36.0	5597413.0
37.0	5169269.0
38.0	4930872.0
39.0	5389537.0
40.0	1.6346879E7
41.0	6185714.0
42.0	6814296.0
43.0	7018217.0
44.0	6338832.0
45.0	9827153.0
46.0	7580551.0
47.0	7818371.0
48.0	1.0237198E7
49.0	7391517.0
50.0	1.1722744E7
51.0	8735597.0
52.0	8781043.0
53.0	1.0522786E7
54.0	9175281.0
55.0	1.0052884E7
56.0	1.018989E7
57.0	9931170.0
58.0	9255970.0
59.0	8734081.0
60.0	1.808714003E9
