#Coverage	Number of genomic locations
0.0	6.102106E8
1.0	6.02814038E8
2.0	5.45794395E8
3.0	3.70298771E8
4.0	2.45853303E8
5.0	1.46835853E8
6.0	8.9107714E7
7.0	5.3142172E7
8.0	3.3392712E7
9.0	2.1842892E7
10.0	1.5375559E7
11.0	1.1421637E7
12.0	8977637.0
13.0	7313015.0
14.0	6091075.0
15.0	5179068.0
16.0	4445325.0
17.0	3844733.0
18.0	3364506.0
19.0	2952992.0
20.0	2608944.0
21.0	2305406.0
22.0	2034171.0
23.0	1812933.0
24.0	1611051.0
25.0	1440819.0
26.0	1295939.0
27.0	1155000.0
28.0	1033405.0
29.0	928968.0
30.0	833251.0
31.0	753256.0
32.0	677601.0
33.0	616437.0
34.0	558714.0
35.0	509848.0
36.0	461738.0
37.0	418647.0
38.0	381153.0
39.0	346814.0
40.0	316699.0
41.0	289534.0
42.0	267127.0
43.0	244446.0
44.0	226401.0
45.0	206346.0
46.0	190754.0
47.0	178552.0
48.0	165143.0
49.0	153564.0
50.0	142818.0
51.0	133783.0
52.0	125009.0
53.0	115690.0
54.0	109310.0
55.0	101449.0
56.0	95789.0
57.0	88786.0
58.0	82919.0
59.0	80231.0
60.0	74657.0
61.0	70481.0
62.0	66661.0
63.0	62042.0
64.0	58963.0
65.0	55345.0
66.0	52318.0
67.0	49648.0
68.0	46131.0
69.0	43683.0
70.0	42273.0
71.0	40028.0
72.0	37778.0
73.0	35259.0
74.0	33726.0
75.0	31802.0
76.0	30320.0
77.0	28902.0
78.0	27038.0
79.0	26343.0
80.0	24987.0
81.0	24194.0
82.0	23015.0
83.0	21989.0
84.0	21072.0
85.0	20346.0
86.0	19909.0
87.0	18912.0
88.0	18014.0
89.0	17369.0
90.0	16937.0
91.0	16171.0
92.0	15490.0
93.0	14917.0
94.0	14658.0
95.0	13801.0
96.0	13265.0
97.0	12699.0
98.0	12796.0
99.0	12410.0
100.0	11715.0
101.0	11625.0
102.0	11090.0
103.0	10620.0
104.0	10455.0
105.0	10285.0
106.0	9701.0
107.0	9520.0
108.0	9429.0
109.0	9096.0
110.0	8791.0
111.0	8342.0
112.0	8532.0
113.0	7940.0
114.0	7684.0
115.0	7324.0
116.0	7299.0
117.0	7197.0
118.0	6797.0
119.0	6706.0
120.0	6621.0
121.0	6441.0
122.0	6353.0
123.0	5979.0
124.0	5795.0
125.0	5520.0
126.0	5501.0
127.0	5328.0
128.0	5128.0
129.0	5058.0
130.0	4769.0
131.0	4605.0
132.0	4619.0
133.0	4423.0
134.0	4456.0
135.0	4307.0
136.0	4151.0
137.0	3875.0
138.0	3901.0
139.0	3689.0
140.0	3851.0
141.0	3837.0
142.0	3798.0
143.0	3695.0
144.0	3586.0
145.0	3399.0
146.0	3393.0
147.0	3193.0
148.0	3154.0
149.0	2929.0
150.0	2944.0
151.0	2865.0
152.0	2732.0
153.0	2697.0
154.0	2737.0
155.0	2600.0
156.0	2617.0
157.0	2600.0
158.0	2585.0
159.0	2517.0
160.0	2439.0
161.0	2433.0
162.0	2234.0
163.0	2084.0
164.0	2242.0
165.0	2069.0
166.0	2081.0
167.0	1989.0
168.0	2012.0
169.0	1866.0
170.0	1882.0
171.0	1851.0
172.0	1778.0
173.0	1871.0
174.0	1796.0
175.0	1817.0
176.0	1886.0
177.0	1833.0
178.0	1832.0
179.0	1745.0
180.0	1742.0
181.0	1766.0
182.0	1671.0
183.0	1659.0
184.0	1696.0
185.0	1685.0
186.0	1702.0
187.0	1698.0
188.0	1669.0
189.0	1587.0
190.0	1568.0
191.0	1559.0
192.0	1466.0
193.0	1429.0
194.0	1443.0
195.0	1514.0
196.0	1410.0
197.0	1492.0
198.0	1433.0
199.0	1440.0
200.0	1352.0
201.0	1267.0
202.0	1308.0
203.0	1353.0
204.0	1332.0
205.0	1315.0
206.0	1319.0
207.0	1302.0
208.0	1272.0
209.0	1292.0
210.0	1286.0
211.0	1311.0
212.0	1243.0
213.0	1204.0
214.0	1234.0
215.0	1250.0
216.0	1205.0
217.0	1258.0
218.0	1276.0
219.0	1223.0
220.0	1298.0
221.0	1345.0
222.0	1235.0
223.0	1277.0
224.0	1237.0
225.0	1225.0
226.0	1212.0
227.0	1196.0
228.0	1176.0
229.0	1197.0
230.0	1198.0
231.0	1244.0
232.0	1250.0
233.0	1177.0
234.0	1225.0
235.0	1167.0
236.0	1214.0
237.0	1212.0
238.0	1157.0
239.0	1229.0
240.0	1206.0
241.0	1146.0
242.0	1193.0
243.0	1133.0
244.0	1136.0
245.0	1170.0
246.0	1139.0
247.0	1153.0
248.0	1162.0
249.0	1091.0
250.0	1128.0
251.0	1150.0
252.0	1041.0
253.0	1092.0
254.0	1050.0
255.0	1067.0
256.0	1103.0
257.0	1090.0
258.0	984.0
259.0	1086.0
260.0	1040.0
261.0	997.0
262.0	1043.0
263.0	1020.0
264.0	1034.0
265.0	1038.0
266.0	1020.0
267.0	1074.0
268.0	1081.0
269.0	992.0
270.0	919.0
271.0	1003.0
272.0	945.0
273.0	887.0
274.0	900.0
275.0	1005.0
276.0	963.0
277.0	990.0
278.0	913.0
279.0	947.0
280.0	955.0
281.0	957.0
282.0	898.0
283.0	956.0
284.0	886.0
285.0	856.0
286.0	874.0
287.0	857.0
288.0	886.0
289.0	878.0
290.0	868.0
291.0	938.0
292.0	834.0
293.0	851.0
294.0	900.0
295.0	919.0
296.0	896.0
297.0	856.0
298.0	821.0
299.0	850.0
300.0	882.0
301.0	822.0
302.0	828.0
303.0	809.0
304.0	774.0
305.0	836.0
306.0	752.0
307.0	721.0
308.0	738.0
309.0	776.0
310.0	768.0
311.0	786.0
312.0	798.0
313.0	680.0
314.0	721.0
315.0	694.0
316.0	720.0
317.0	706.0
318.0	681.0
319.0	736.0
320.0	692.0
321.0	705.0
322.0	694.0
323.0	640.0
324.0	727.0
325.0	648.0
326.0	633.0
327.0	606.0
328.0	637.0
329.0	598.0
330.0	619.0
331.0	644.0
332.0	606.0
333.0	600.0
334.0	642.0
335.0	578.0
336.0	597.0
337.0	585.0
338.0	580.0
339.0	562.0
340.0	586.0
341.0	512.0
342.0	512.0
343.0	515.0
344.0	493.0
345.0	473.0
346.0	483.0
347.0	462.0
348.0	488.0
349.0	443.0
350.0	465.0
351.0	474.0
352.0	432.0
353.0	469.0
354.0	446.0
355.0	444.0
356.0	438.0
357.0	479.0
358.0	477.0
359.0	432.0
360.0	422.0
361.0	480.0
362.0	456.0
363.0	451.0
364.0	452.0
365.0	477.0
366.0	429.0
367.0	425.0
368.0	454.0
369.0	456.0
370.0	484.0
371.0	464.0
372.0	481.0
373.0	460.0
374.0	445.0
375.0	426.0
376.0	430.0
377.0	477.0
378.0	436.0
379.0	446.0
380.0	412.0
381.0	387.0
382.0	459.0
383.0	397.0
384.0	417.0
385.0	425.0
386.0	422.0
387.0	396.0
388.0	410.0
389.0	397.0
390.0	383.0
391.0	414.0
392.0	401.0
393.0	429.0
394.0	396.0
395.0	418.0
396.0	421.0
397.0	409.0
398.0	377.0
399.0	373.0
400.0	396.0
401.0	363.0
402.0	465.0
403.0	388.0
404.0	358.0
405.0	385.0
406.0	352.0
407.0	409.0
408.0	395.0
409.0	377.0
410.0	426.0
411.0	414.0
412.0	376.0
413.0	403.0
414.0	361.0
415.0	392.0
416.0	407.0
417.0	414.0
418.0	446.0
419.0	411.0
420.0	449.0
421.0	403.0
422.0	406.0
423.0	378.0
424.0	385.0
425.0	399.0
426.0	365.0
427.0	363.0
428.0	317.0
429.0	353.0
430.0	351.0
431.0	368.0
432.0	375.0
433.0	329.0
434.0	338.0
435.0	346.0
436.0	344.0
437.0	349.0
438.0	343.0
439.0	332.0
440.0	315.0
441.0	355.0
442.0	376.0
443.0	340.0
444.0	374.0
445.0	399.0
446.0	369.0
447.0	376.0
448.0	352.0
449.0	361.0
450.0	375.0
451.0	355.0
452.0	360.0
453.0	355.0
454.0	331.0
455.0	357.0
456.0	339.0
457.0	321.0
458.0	345.0
459.0	361.0
460.0	384.0
461.0	381.0
462.0	393.0
463.0	331.0
464.0	343.0
465.0	334.0
466.0	341.0
467.0	336.0
468.0	326.0
469.0	346.0
470.0	328.0
471.0	312.0
472.0	351.0
473.0	309.0
474.0	299.0
475.0	297.0
476.0	307.0
477.0	324.0
478.0	321.0
479.0	344.0
480.0	289.0
481.0	262.0
482.0	307.0
483.0	295.0
484.0	290.0
485.0	293.0
486.0	298.0
487.0	305.0
488.0	307.0
489.0	307.0
490.0	291.0
491.0	342.0
492.0	306.0
493.0	271.0
494.0	271.0
495.0	253.0
496.0	255.0
497.0	267.0
498.0	235.0
499.0	270.0
500.0	273.0
501.0	269.0
502.0	254.0
503.0	252.0
504.0	274.0
505.0	256.0
506.0	261.0
507.0	214.0
508.0	226.0
509.0	255.0
510.0	243.0
511.0	234.0
512.0	243.0
513.0	247.0
514.0	230.0
515.0	272.0
516.0	256.0
517.0	282.0
518.0	236.0
519.0	246.0
520.0	237.0
521.0	285.0
522.0	229.0
523.0	251.0
524.0	222.0
525.0	269.0
526.0	258.0
527.0	282.0
528.0	248.0
529.0	262.0
530.0	253.0
531.0	226.0
532.0	228.0
533.0	229.0
534.0	262.0
535.0	248.0
536.0	239.0
537.0	212.0
538.0	199.0
539.0	246.0
540.0	246.0
541.0	234.0
542.0	243.0
543.0	246.0
544.0	233.0
545.0	247.0
546.0	222.0
547.0	239.0
548.0	242.0
549.0	227.0
550.0	231.0
551.0	240.0
552.0	237.0
553.0	220.0
554.0	239.0
555.0	263.0
556.0	256.0
557.0	261.0
558.0	232.0
559.0	262.0
560.0	255.0
561.0	236.0
562.0	244.0
