#Coverage	Number of genomic locations
0.0	1.958403137E9
1.0	6.28323751E8
2.0	1.58668054E8
3.0	4.1138832E7
4.0	1.3508892E7
5.0	5942173.0
6.0	3153153.0
7.0	1857221.0
8.0	1165597.0
9.0	768339.0
10.0	525475.0
11.0	371175.0
12.0	271665.0
13.0	203275.0
14.0	153308.0
15.0	120389.0
16.0	94806.0
17.0	75037.0
18.0	61967.0
19.0	50969.0
20.0	43500.0
21.0	36718.0
22.0	31072.0
23.0	26373.0
24.0	22691.0
25.0	19401.0
26.0	16801.0
27.0	15286.0
28.0	13448.0
29.0	12022.0
30.0	11022.0
31.0	10055.0
32.0	9542.0
33.0	8560.0
34.0	8348.0
35.0	8008.0
36.0	7274.0
37.0	7195.0
38.0	7078.0
39.0	7009.0
40.0	7055.0
41.0	7162.0
42.0	7258.0
43.0	7248.0
44.0	7256.0
45.0	6998.0
46.0	6786.0
47.0	7065.0
48.0	6655.0
49.0	6355.0
50.0	6214.0
51.0	6070.0
52.0	5648.0
53.0	5280.0
54.0	4892.0
55.0	4466.0
56.0	3991.0
57.0	3649.0
58.0	3314.0
59.0	3111.0
60.0	2967.0
61.0	2713.0
62.0	2559.0
63.0	2359.0
64.0	2407.0
65.0	2360.0
66.0	2317.0
67.0	2216.0
68.0	2195.0
69.0	2245.0
70.0	1976.0
71.0	2017.0
72.0	2084.0
73.0	1887.0
74.0	1870.0
75.0	1816.0
76.0	1670.0
77.0	1581.0
78.0	1704.0
79.0	1496.0
80.0	1409.0
81.0	1365.0
82.0	1319.0
83.0	1325.0
84.0	1340.0
85.0	1297.0
86.0	1365.0
87.0	1285.0
88.0	1245.0
89.0	1193.0
90.0	1187.0
91.0	988.0
92.0	915.0
93.0	844.0
94.0	865.0
95.0	886.0
96.0	815.0
97.0	835.0
98.0	804.0
99.0	816.0
100.0	764.0
101.0	804.0
102.0	718.0
103.0	750.0
104.0	676.0
105.0	637.0
106.0	608.0
107.0	632.0
108.0	569.0
109.0	556.0
110.0	525.0
111.0	457.0
112.0	535.0
113.0	528.0
114.0	502.0
115.0	511.0
116.0	509.0
117.0	419.0
118.0	456.0
119.0	486.0
120.0	423.0
121.0	408.0
122.0	388.0
123.0	402.0
124.0	400.0
125.0	394.0
126.0	452.0
127.0	481.0
128.0	425.0
129.0	442.0
130.0	426.0
131.0	412.0
132.0	430.0
133.0	440.0
134.0	464.0
135.0	391.0
136.0	416.0
137.0	378.0
138.0	397.0
139.0	403.0
140.0	366.0
141.0	378.0
142.0	408.0
143.0	349.0
144.0	377.0
145.0	364.0
146.0	292.0
147.0	322.0
148.0	300.0
149.0	292.0
150.0	297.0
151.0	285.0
152.0	276.0
153.0	276.0
154.0	253.0
155.0	252.0
156.0	274.0
157.0	263.0
158.0	247.0
159.0	249.0
160.0	248.0
161.0	250.0
162.0	220.0
163.0	204.0
164.0	206.0
165.0	232.0
166.0	215.0
167.0	195.0
168.0	207.0
169.0	236.0
170.0	210.0
171.0	177.0
172.0	178.0
173.0	160.0
174.0	185.0
175.0	131.0
176.0	163.0
177.0	184.0
178.0	137.0
179.0	154.0
180.0	130.0
181.0	166.0
182.0	115.0
183.0	151.0
184.0	149.0
185.0	133.0
186.0	135.0
187.0	115.0
188.0	111.0
189.0	113.0
190.0	111.0
191.0	116.0
192.0	113.0
193.0	98.0
194.0	118.0
195.0	102.0
196.0	109.0
197.0	131.0
198.0	99.0
199.0	121.0
200.0	111.0
201.0	87.0
202.0	100.0
203.0	85.0
204.0	105.0
205.0	110.0
206.0	77.0
207.0	91.0
208.0	101.0
209.0	104.0
210.0	97.0
211.0	81.0
212.0	66.0
213.0	89.0
214.0	69.0
215.0	67.0
216.0	75.0
217.0	61.0
218.0	61.0
219.0	57.0
220.0	54.0
221.0	64.0
222.0	45.0
223.0	61.0
224.0	66.0
225.0	49.0
226.0	60.0
227.0	50.0
228.0	58.0
229.0	54.0
230.0	42.0
231.0	63.0
232.0	64.0
233.0	58.0
234.0	65.0
235.0	49.0
236.0	62.0
237.0	65.0
238.0	54.0
239.0	50.0
240.0	66.0
241.0	68.0
242.0	52.0
243.0	48.0
244.0	53.0
245.0	59.0
246.0	49.0
247.0	51.0
248.0	45.0
249.0	55.0
250.0	44.0
251.0	33.0
252.0	23.0
253.0	34.0
254.0	34.0
255.0	40.0
256.0	22.0
257.0	22.0
258.0	38.0
259.0	37.0
260.0	28.0
261.0	33.0
262.0	24.0
263.0	19.0
264.0	21.0
265.0	14.0
266.0	19.0
267.0	25.0
268.0	18.0
269.0	15.0
270.0	16.0
271.0	13.0
272.0	7.0
273.0	20.0
274.0	14.0
275.0	16.0
276.0	23.0
277.0	17.0
278.0	14.0
279.0	19.0
280.0	9.0
281.0	12.0
282.0	14.0
283.0	21.0
284.0	13.0
285.0	18.0
286.0	11.0
287.0	22.0
288.0	22.0
289.0	24.0
290.0	18.0
291.0	20.0
292.0	22.0
293.0	18.0
294.0	18.0
295.0	15.0
296.0	20.0
297.0	19.0
298.0	8.0
299.0	12.0
300.0	12.0
301.0	9.0
302.0	10.0
303.0	6.0
304.0	7.0
305.0	11.0
306.0	14.0
307.0	13.0
308.0	8.0
309.0	12.0
310.0	13.0
