#Duplication rate	Coverage
1.0	6.4916875E7
2.0	6366469.0
3.0	739311.0
4.0	205342.0
5.0	63588.0
6.0	34559.0
7.0	20385.0
8.0	14547.0
9.0	10925.0
10.0	8676.0
11.0	7088.0
12.0	5936.0
13.0	5138.0
14.0	4496.0
15.0	3981.0
16.0	3698.0
17.0	3338.0
18.0	3039.0
19.0	2884.0
20.0	2687.0
21.0	2490.0
22.0	2331.0
23.0	2220.0
24.0	2072.0
25.0	1984.0
26.0	1930.0
27.0	1752.0
28.0	1655.0
29.0	1605.0
30.0	1581.0
31.0	1466.0
32.0	1343.0
33.0	1291.0
34.0	1172.0
35.0	1152.0
36.0	1141.0
37.0	1063.0
38.0	973.0
39.0	925.0
40.0	846.0
41.0	752.0
42.0	726.0
43.0	656.0
44.0	643.0
45.0	576.0
46.0	501.0
47.0	531.0
48.0	535.0
49.0	441.0
50.0	6644.0
