#Coverage (X)	Coverage
1.0	77.35098707924156
2.0	55.45853616279065
3.0	36.146133320748824
4.0	23.31220241846168
5.0	15.017277945302041
6.0	10.146800675236008
7.0	7.243477619230262
8.0	5.519611380115904
9.0	4.428821304091727
10.0	3.696385024694152
11.0	3.1647529466878837
12.0	2.754867275093204
13.0	2.4233239754639158
14.0	2.1469616628185264
15.0	1.9125071481741713
16.0	1.710290748211392
17.0	1.5359379825895445
18.0	1.3833456628899512
19.0	1.2494528711747108
20.0	1.1310874796231616
21.0	1.0261461971412444
22.0	0.9329050396734431
23.0	0.8499642047674456
24.0	0.7758924556859625
25.0	0.709671392634192
26.0	0.650456942902764
27.0	0.5972472940540143
28.0	0.5492993537990714
29.0	0.5061321953375142
30.0	0.46748411492743003
31.0	0.43272568097131625
32.0	0.40130617190045825
33.0	0.3728345238985611
34.0	0.3469327441288499
35.0	0.32334850585644404
36.0	0.30183239490169456
37.0	0.2822774636577918
38.0	0.2643815522804971
39.0	0.24792128199227648
40.0	0.23286795346855627
41.0	0.21905576417577777
42.0	0.20633247982542002
43.0	0.19462397233532158
44.0	0.1837912559912951
45.0	0.17376574366988962
46.0	0.16437669570126445
47.0	0.15569763634515255
48.0	0.1476858007664248
49.0	0.14022916214614156
50.0	0.13334722039667213
51.0	0.1269761124170401
