#Position (bp)	insert size
3519247.5	141302.54004827738
1.05577415E7	81127.74026678913
1.75962355E7	93698.58844533018
2.46347295E7	50227.68533600546
3.16732235E7	44311.90870310825
3.87117175E7	73576.30603959778
4.57502115E7	52117.4667846331
5.27887055E7	35730.202166297735
5.98271995E7	30643.262096605853
6.68656935E7	58742.889035386186
7.39041875E7	42030.22468914669
8.09426815E7	29142.249416661412
8.79811755E7	53168.55485698216
9.50196695E7	29335.668429970658
1.020581635E8	32643.66880733945
1.090966575E8	26510.54794549135
1.161351515E8	11281.514516463036
1.231736455E8	20372.176224477447
1.302121395E8	10959.580820523262
1.372506335E8	5881.208612419971
1.442891275E8	14619.014375980661
1.513276215E8	12244.926348458905
1.583661155E8	10127.962676367306
1.654046095E8	3772.39224291804
1.724431035E8	2912.8419745235587
1.794815975E8	2078.0695489503223
1.865200915E8	1836.8249431972151
1.935585855E8	2308.5832042397064
2.005970795E8	556.5028316006634
2.06554927E8	237.7150987324308
2.10074174E8	167087.15103170942
2.146740675E8	104017.19519944952
2.217125615E8	140922.5258345044
2.287510555E8	93101.97966016573
2.357895495E8	123040.42757391791
2.428280435E8	42433.21740481418
2.498665375E8	67109.44449248507
2.569050315E8	51044.50755400175
2.639435255E8	56568.18727001283
2.709820195E8	45264.49195764716
2.780205135E8	50938.249245750194
2.850590075E8	34907.41266749307
2.920975015E8	27504.962269651223
2.991359955E8	31368.151041449262
3.061744895E8	22875.47543888912
3.132129835E8	13945.201961866745
3.202514775E8	29991.57487030504
3.272899715E8	10768.967023662197
3.343284655E8	11508.842535635025
3.413669595E8	10896.125213638694
3.484054535E8	13010.840128800233
3.554439475E8	7636.41771908044
3.624824415E8	7986.2416051216605
3.695209355E8	2446.594299126684
3.765594295E8	3127.4193548387098
3.835979235E8	2263.327278024013
3.906364175E8	1372.4819630337795
3.976749115E8	927.1581490853279
4.047134055E8	258.64607978274734
4.08526901E8	254.53884863123994
4.12046148E8	75032.56146354304
4.187903935E8	84497.54281047804
4.258288875E8	59324.96749164161
4.328673815E8	68227.38695329874
4.399058755E8	69423.14261120911
4.469443695E8	73025.38481197518
4.539828635E8	37103.1588076899
4.610213575E8	31121.57891047793
4.680598515E8	59444.210354659794
4.750983455E8	54293.36681546045
4.821368395E8	24158.90536550386
4.891753335E8	27690.866624472575
4.962138275E8	15846.211250598546
5.032523215E8	15394.308216953556
5.102908155E8	9677.977923652632
5.173293095E8	12354.463329177594
5.243678035E8	14720.843014602791
5.314062975E8	6049.7177358163335
5.384447915E8	3600.680292874525
5.454832855E8	2077.0236638454817
5.525217795E8	2149.0357212149956
5.595602735E8	2949.2264598961947
5.665987675E8	2206.3844879161556
5.736372615E8	446.2572643813695
5.806757555E8	332.2187961050457
5.877142495E8	410.43010091797686
5.918006215E8	236.043947858473
5.953198685E8	91884.89863699714
6.017912375E8	83004.58237284551
6.088297315E8	67430.498899348
6.158682255E8	54223.283428694805
6.229067195E8	30551.33577075099
6.299452135E8	34818.659685414474
6.369837075E8	50699.20349737909
6.440222015E8	25889.372754554293
6.510606955E8	34709.98456235329
6.580991895E8	31744.801262918518
6.651376835E8	38211.24430646051
6.721761775E8	34711.75679476105
6.792146715E8	29251.61759827679
6.862531655E8	21897.459217717013
6.932916595E8	14747.050875461333
7.003301535E8	9275.288589897458
7.073686475E8	9959.549054659405
7.144071415E8	13909.318345705196
7.214456355E8	4035.612358949104
7.284841295E8	6462.811779687998
7.355226235E8	2031.5020453457505
7.425611175E8	1132.5806786254593
7.495996115E8	1162.3034861762396
7.566381055E8	1723.375996539151
7.636765995E8	304.993070318888
7.683379745E8	235.12319871358773
7.718572215E8	116332.82085378382
7.777535875E8	69304.71255301102
7.847920815E8	69522.64624227307
7.918305755E8	46867.46793623622
7.988690695E8	50700.3911390774
8.059075635E8	54340.72220470454
8.129460575E8	34118.384684817065
8.199845515E8	39179.04080876746
8.270230455E8	44061.67078440788
8.340615395E8	30667.688848215454
8.411000335E8	37745.03111823743
8.481385275E8	34672.63905990484
8.551770215E8	12734.936439858677
8.622155155E8	16552.15251130869
8.692540095E8	11508.683764632247
8.762925035E8	14324.517480817294
8.833309975E8	4167.282768607009
8.903694915E8	4908.734104292001
8.974079855E8	4776.920387015302
9.044464795E8	3005.2648709985665
9.114849735E8	2075.4574739039667
9.185234675E8	3308.07541031776
9.255619615E8	1304.273708010336
9.326004555E8	569.6699627339714
9.396389495E8	402.81788667687596
9.442718855E8	237.20705296109372
9.477911325E8	61741.50820235335
9.537159375E8	57740.75603370003
9.607544315E8	46523.674680317956
9.677929255E8	38223.8096061735
9.748314195E8	33835.98865295565
9.818699135E8	24729.485250206475
9.889084075E8	27315.974960475152
9.959469015E8	25206.428079058784
1.0029853955E9	22747.06901487336
1.0100238895E9	24192.388865466502
1.0170623835E9	13713.085714285715
1.0241008775E9	14385.382718968296
1.0311393715E9	6463.818380363356
1.0381778655E9	11353.704729542005
1.0452163595E9	6037.483090667734
1.0522548535E9	8900.976865128621
1.0592933475E9	6224.060412239694
1.0663318415E9	3752.7138380758806
1.0733703355E9	4568.485011753448
1.0804088295E9	1397.088493422786
1.0874473235E9	1108.8437377767348
1.0944858175E9	635.7581610160596
1.1015243115E9	237.73034992273332
1.106347486E9	235.41102317425714
1.109866733E9	58750.99851310328
